ID;Round;Direction;Authors;Year;Title;Journal;Source Type;Keywords;Relevance;Included;Notes;DOI
195;Round 1;Backward;Mor, Bhardwaj & Singh;2018;Benchmarking the interactions among performance indicators in dairy supply chain: an ISM approach;Benchmarking: An International Journal;SSCI/SCI;Supply Chain, Dairy, Performance Indicators, ISM;Pending;No;"Fails: agri-food supply chain/financing; no core RQ concepts";N/A
196;Round 1;Backward;Paoloni, Tutino, Paoloni & Santolamazza;2023;Financing innovation in agri-food industries: an analysis of the Italian micro small and medium enterprises;British Food Journal;SSCI/SCI;Agri-food, Innovation, SMEs, Italy, Financing;Pending;No;"Fails: agri-food supply chain/financing; no core RQ concepts";N/A
197;Round 1;Backward;Rosamartina, Giustina & Angeloantonio;2022;Digital reputation and firm performance: The moderating role of firm orientation towards sustainable development goals (SDGs);Journal of Business Research;SSCI/SCI;Digital Reputation, Firm Performance, SDGs, Sustainability;Pending;No;"Fails: digital reputation and SDGs; sustainability is reporting/ecological SDG framing";N/A
198;Round 1;Backward;Rose & Chilvers;2018;Agriculture 4.0: Broadening responsible innovation in an era of smart farming;Frontiers in Sustainable Food Systems;Unknown;Agriculture 4.0, Responsible Innovation, Smart Farming;Pending;No;"Fails: smart farming/SDG sustainability; ecological/food security framing";N/A
199;Round 1;Backward;Secundo, Schena, Russo, Schiavone & Shams;2022;The impact of digital technologies on the achievement of the Sustainable Development Goals: evidence from the agri-food sector;Total Quality Management & Business Excellence;SSCI/SCI;Digital Technologies, SDGs, Agri-food, Industry 4.0;Pending;No;"Fails: smart farming/SDG sustainability; ecological/food security framing";N/A
200;Round 1;Backward;Siew;2015;A review of corporate sustainability reporting tools (SRTs);Journal of Environmental Management;SSCI/SCI;Sustainability Reporting, Tools, Corporate, ESG;Pending;No;"Fails: sustainability reporting tools; sustainability is reporting/ecological";N/A
201;Round 1;Backward;Stefanini & Vignali;2024;The influence of Industry 4.0 enabling technologies on social economic and environmental sustainability of the food sector;International Journal of Production Research;SSCI/SCI;Industry 4.0, Food Sector, Sustainability, Enabling Technologies;Pending;No;"Fails: Industry 4.0 food sector; sustainability is ecological/environmental";N/A
202;Round 1;Backward;Tanda;2018;The food and beverages stock performance during and after the 2007-2011 crisis;International Journal of Business Performance Management;Unknown;Food Industry, Stock Performance, Financial Crisis;Pending;No;"Fails: food industry finance/sustainability reporting; no decentralization or DT for stable development";N/A
203;Round 1;Backward;Torelli, Balluchi & Furlotti;2020;The materiality assessment and stakeholder engagement: A content analysis of sustainability reports;Corporate Social Responsibility and Environmental Management;SSCI/SCI;Materiality, Stakeholder Engagement, Sustainability Reporting, Content Analysis;Pending;No;"Fails: food industry finance/sustainability reporting; no decentralization or DT for stable development";N/A
204;Round 1;Backward;United Nations;2015;Transforming our world: the 2030 Agenda for Sustainable Development A/RES/70/1;United Nations General Assembly;Not indexed;SDGs, 2030 Agenda, Sustainable Development, United Nations;Pending;No;"Fails: UN 2030 Agenda (grey literature); not peer-reviewed journal";N/A
205;Round 1;Backward;Varriale, Cammarano, Michelino & Caputo;2024;The role of digital technologies in production systems for achieving sustainable development goals;Sustainable Production and Consumption;SSCI/SCI;Digital Technologies, Production Systems, SDGs, Industry 4.0;Pending;No;"Fails: digital production for SDGs; sustainability is ecological/SDG framing not stable governance";N/A
206;Round 1;Backward;Walter, Finger, Huber & Buchmann;2017;Smart farming is key to developing sustainable agriculture;Proceedings of the National Academy of Sciences;SSCI/SCI;Smart Farming, Sustainable Agriculture, Precision Agriculture;Pending;No;"Fails: smart farming/food system sustainability; ecological framing";N/A
207;Round 1;Backward;Wolfert, Ge, Verdouw & Bogaardt;2017;Big data in smart farming–a review;Agricultural Systems;SSCI/SCI;Big Data, Smart Farming, Agriculture, IoT, Review;Pending;No;"Fails: smart farming/food system sustainability; ecological framing";N/A
208;Round 1;Backward;Yadav, Singh, Raut, Mangla, Luthra & Kumar;2022;Exploring the application of Industry 4.0 technologies in the agricultural food supply chain: A systematic literature review;Computers & Industrial Engineering;SSCI/SCI;Industry 4.0, Agri-food, Supply Chain, Systematic Review;Pending;No;"Fails: smart farming/food system sustainability; ecological framing";N/A
209;Round 1;Backward;Zollet, Colombo, De Meo, Marino, McGreevy, McKeon & Tarra;2021;Towards territorially embedded equitable and resilient food systems? Insights from grassroots responses to COVID-19 in Italy and the city region of Rome;Sustainability;SSCI/SCI;Food Systems, COVID-19, Resilience, Italy, Sustainability;Pending;No;"Fails: smart farming/food system sustainability; ecological framing";10.3390/su13052425
210;Round 1;Backward;Agogué, Berthet, Fredberg, Le Masson, Segrestin, Stoetzel, Wiener & Yström;2017;"Explicating the role of innovation intermediaries in the ""unknown"": a contingency approach";Journal of Strategy and Management;SSCI/SCI;Innovation Intermediaries, Uncertainty, Contingency, Strategy;Pending;No;"Fails: innovation intermediaries/knowledge transfer; no decentralization/DLT or sustainability-as-stable-development";10.1108/JSMA-01-2015-0005
211;Round 1;Backward;Alexandre, Costa, Faria & Portela;2022;Enhancing university-industry collaboration: the role of intermediary organizations;Journal of Technology Transfer;SSCI/SCI;University-Industry, Collaboration, Intermediaries, Knowledge Transfer;Pending;No;"Fails: innovation intermediaries/knowledge transfer; no decentralization/DLT or sustainability-as-stable-development";10.1007/s10961-021-09889-8
212;Round 1;Backward;Antonioli, Marzucchi & Savona;2017;Pain shared, pain halved? Cooperation as a coping strategy for innovation barriers;Journal of Technology Transfer;SSCI/SCI;Innovation Barriers, Cooperation, SMEs, Technology Transfer;Pending;No;"Fails: innovation intermediaries/knowledge transfer; no decentralization/DLT or sustainability-as-stable-development";10.1007/s10961-016-9545-9
213;Round 1;Backward;Aragonés et al.;2020;Digital innovation hubs as a tool for boosting biomass valorisation in regional bioeconomies: Andalusian and South-East Irish case studies;Journal of Open Innovation: Technology Market and Complexity;Unknown;Digital Innovation Hubs, Bioeconomy, Regional Innovation, Biomass;Pending;No;"Fails: innovation intermediaries/knowledge transfer; no decentralization/DLT or sustainability-as-stable-development";10.3390/joitmc6040115
214;Round 1;Backward;Audretsch, Belitski, Caiazza, Chowdhury & Menter;2023;Entrepreneurial growth, value creation and new technologies;The Journal of Technology Transfer;SSCI/SCI;Entrepreneurship, Value Creation, Technology, Growth;Pending;No;"Fails: innovation intermediaries/knowledge transfer; no decentralization/DLT or sustainability-as-stable-development";10.1007/s10961-023-10034-w
215;Round 1;Backward;Battistella, De Toni & Pillon;2016;Inter-organisational technology/knowledge transfer: A framework from critical literature review;The Journal of Technology Transfer;SSCI/SCI;Knowledge Transfer, Inter-organisational, Technology Transfer, Framework;Pending;No;"Fails: innovation intermediaries/knowledge transfer; no decentralization/DLT or sustainability-as-stable-development";N/A
216;Round 1;Backward;Baxter & Jack;2008;Qualitative case study methodology: Study design and implementation for novice researchers;The Qualitative Report;Unknown;Case Study, Qualitative Research, Methodology;Pending;No;"Fails: research methodology; no core RQ concepts";10.46743/2160-3715/2008.1573
217;Round 1;Backward;Belitski & Boreiko;2022;Success factors of initial coin offerings;The Journal of Technology Transfer;SSCI/SCI;ICO, Blockchain, Crowdfunding, Entrepreneurial Finance;Medium;Yes;"Passes: blockchain/ICO (C1) + digital transformation of entrepreneurial finance (C2); financial institutional stability implications (C3)";10.1007/s10961-021-09894-x
218;Round 1;Backward;Benitez, Ayala & Frank;2020;Industry 4.0 innovation ecosystems: An evolutionary perspective on value cocreation;International Journal of Production Economics;SSCI/SCI;Industry 4.0, Innovation Ecosystems, Value Cocreation, SMEs;Pending;No;"Fails: Industry 4.0 innovation ecosystems; no decentralization/DLT or sustainability-as-stability";10.1016/j.ijpe.2020.107735
219;Round 1;Backward;Bergek, Jacobsson, Carlsson, Lindmark & Rickne;2008;Analyzing the functional dynamics of technological innovation systems: A scheme of analysis;Research Policy;SSCI/SCI;Technological Innovation Systems, TIS, Innovation Dynamics;Pending;No;"Fails: innovation systems theory / green SMEs; no blockchain/decentralization and sustainability ecological";10.1016/j.respol.2007.12.003
220;Round 1;Backward;Boiral, Ebrahimi, Kuyken & Talbot;2019;Greening remote SMEs: The case of small regional airports;Journal of Business Ethics;SSCI/SCI;Green SMEs, Environmental Sustainability, Small Business;Pending;No;"Fails: innovation systems theory / green SMEs; no blockchain/decentralization and sustainability ecological";10.1007/s10551-017-3447-0
221;Round 1;Backward;Bumblauskas, Mann, Dugan & Rittmer;2020;A blockchain use case in food distribution: Do you know where your food has been?;International Journal of Information Management;SSCI/SCI;Blockchain, Food Distribution, Traceability, QR Code;Medium;Yes;"Passes: blockchain (C1) + food distribution digital transformation (C2); supply chain stability implied (C3)";10.1016/j.ijinfomgt.2019.09.004
222;Round 1;Backward;Bush, Bale, Powell, Gouldson, Taylor & Gale;2017;The role of intermediaries in low carbon transitions – empowering innovations to unlock district heating in the UK;Journal of Cleaner Production;SSCI/SCI;Innovation Intermediaries, Low Carbon, Energy Transition, District Heating;Pending;No;"Fails: low-carbon energy transition intermediaries; no DLT/blockchain and sustainability is ecological";10.1016/j.jclepro.2017.01.129
223;Round 1;Backward;Butter, Gijsbers, Goetheer & Karanikolova;2019;Digital innovation hubs and their position in the European national and regional innovation ecosystems;Redesigning Organizations (Springer);Not indexed;Digital Innovation Hubs, Regional Innovation, European Policy;Pending;No;"Fails: digital innovation hubs regional policy; no decentralization/DLT or sustainability-as-stability";10.1007/978-3-030-27957-8_3
224;Round 1;Backward;Butticè & Vismara;2022;Inclusive digital finance: The industry of equity crowdfunding;The Journal of Technology Transfer;SSCI/SCI;Equity Crowdfunding, Digital Finance, Inclusion, Blockchain;Medium;Yes;"Passes: blockchain/DLT in equity crowdfunding (C1) + digital transformation of finance (C2); inclusive financial stability (C3)";10.1007/s10961-021-09875-0
225;Round 1;Backward;Calof, Colovic, Rizzoli & Rossi;2023;Innovation intermediaries' types and functions: A computational analysis of the literature;Technological Forecasting and Social Change;SSCI/SCI;Innovation Intermediaries, Bibliometrics, Typology, Functions;Pending;No;"Fails: innovation intermediaries bibliometric; no blockchain/decentralization or sustainability-as-stability";10.1016/j.techfore.2023.122351
226;Round 1;Backward;Carlsson & Stankiewicz;1991;On the nature, function and composition of technological systems;Journal of Evolutionary Economics;SSCI/SCI;Technological Systems, TIS Framework, Innovation Systems;Pending;No;"Fails: technological systems TIS framework; no blockchain/decentralization or sustainability-as-stability";10.1007/BF01224915
227;Round 1;Backward;Chainalysis;2021;The 2021 Global Crypto Adoption Index: Worldwide Adoption Jumps Over 880% with P2P Platforms Driving Cryptocurrency Usage in Emerging Markets;Chainalysis;Not indexed;Cryptocurrency, Blockchain, Adoption, Emerging Markets;Pending;No;"Fails: industry crypto adoption report (grey literature); not peer-reviewed journal";N/A
228;Round 1;Backward;Chandran, Sundram & Santhidran;2013;Innovation systems in Malaysia: A perspective of university-industry R&D collaboration;AI & Society;Unknown;Innovation Systems, University-Industry, R&D, Malaysia;Pending;No;"Fails: university-industry R&D; no decentralization or sustainability-as-stability";10.1007/s00146-013-0468-9
229;Round 1;Backward;Charvát, Zadražil, Čerba, Kvapil, Tuchyňa, Gergeľová & Šplíchal;2022;Hub4Everybody-new collaborative environment for sharing;Agris on-Line Papers in Economics & Informatics;Unknown;DIH, Collaborative Environment, Data Sharing, Agriculture;Pending;No;"Fails: digital innovation hub; no blockchain/decentralization or sustainability-as-stability";N/A
230;Round 1;Backward;Chege & Wang;2020;The influence of technology innovation on SME performance through environmental sustainability practices in Kenya;Technology in Society;SSCI/SCI;Technology Innovation, SMEs, Environmental Sustainability, Kenya;Pending;No;"Fails: SME technology innovation; sustainability framed as environmental/ecological";10.1016/j.techsoc.2019.101210
231;Round 1;Backward;Chiarini & Compagnucci;2022;Blockchain, data protection and P2P energy trading: A review on legal and economic challenges;Sustainability;SSCI/SCI;Blockchain, P2P Energy Trading, Data Protection, Legal;High;Yes;Passes: blockchain (C1) + P2P energy digital transformation (C2) + legal/economic stability challenges (C3);10.3390/su142316305
232;Round 1;Backward;Clohessy & Acton;2019;Investigating the influence of organizational factors on blockchain adoption: An innovation theory perspective;Industrial Management & Data Systems;SSCI/SCI;Blockchain Adoption, Organizational Factors, Innovation Theory, SMEs;Medium;Yes;"Passes: blockchain adoption (C1) + organizational digital transformation (C2); institutional stability implications";10.1108/IMDS-08-2018-0365
233;Round 1;Backward;Compagnucci, Lepore, Spigarelli, Frontoni, Baldi & Di Berardino;2022;Uncovering the potential of blockchain in the agri-food supply chain: An interdisciplinary case study;Journal of Engineering and Technology Management;SSCI/SCI;Blockchain, Agri-food, Supply Chain, Case Study;Pending;No;"Fails: blockchain agri-food supply chain; sustainability is food safety/ecological not stable development governance";10.1016/j.jengtecman.2022.101700
234;Round 1;Backward;Compagnucci & Spigarelli;2020;The Third Mission of the university: A systematic literature review on potentials and constraints;Technological Forecasting and Social Change;SSCI/SCI;University Third Mission, Knowledge Transfer, Systematic Review;Pending;No;"Fails: university knowledge transfer; no blockchain/decentralization or sustainability-as-stability";10.1016/j.techfore.2020.120284
235;Round 1;Backward;Crupi, Del Sarto, Di Minin, Gregori, Lepore, Marinelli & Spigarelli;2020;The digital transformation of SMEs – a new knowledge broker called the digital innovation hub;Journal of Knowledge Management;SSCI/SCI;Digital Innovation Hub, SMEs, Digital Transformation, Knowledge Broker;Pending;No;"Fails: digital innovation hubs SMEs; no blockchain/decentralization or sustainability-as-stability";10.1108/JKM-11-2019-0623
236;Round 1;Backward;Dyba, Di Maria & Chiarvesio;2022;Actions fostering the adoption of Industry 4.0 technologies in manufacturing companies in European regions;Investigaciones Regionales-Journal of Regional Research;Unknown;Industry 4.0, Manufacturing, Regional Innovation, European;Pending;No;"Fails: Industry 4.0 manufacturing regional; no blockchain/decentralization or sustainability-as-stability";N/A
237;Round 1;Backward;Elder & Olsen;2019;The design of environmental priorities in the SDGs;Global Policy;SSCI/SCI;SDGs, Environmental Priorities, Sustainable Development, Policy;Pending;No;"Fails: SDG environmental policy; sustainability is ecological";10.1111/1758-5899.12596
238;Round 1;Backward;Esmaeilian, Sarkis, Lewis & Behdad;2020;Blockchain for the future of sustainable supply chain management in Industry 4.0;Resources Conservation and Recycling;SSCI/SCI;Blockchain, Supply Chain, Industry 4.0, Sustainability;High;Yes;Passes: blockchain (C1) + Industry 4.0 supply chain digital transformation (C2) + sustainability including economic stability (C3);10.1016/j.resconrec.2020.105064
239;Round 1;Backward;Etzkowitz;1998;The norms of entrepreneurial science: Cognitive effects of the new university-industry linkages;Research Policy;SSCI/SCI;Triple Helix, University-Industry, Entrepreneurial Science, Innovation;Pending;No;"Fails: triple helix university-industry; no decentralization/DLT or sustainability-as-stability";10.1016/s0048-7333(98)00093-6
240;Round 1;Backward;European Commission;2017;Digital innovation hubs: Mainstreaming digital innovation across all sectors;European Commission;Not indexed;Digital Innovation Hubs, EU Policy, SMEs, Digitalization;Pending;No;"Fails: digital innovation hubs/DESI EU policy; no blockchain/decentralization or sustainability-as-stability";N/A
241;Round 1;Backward;European Commission;2019;Communication from the Commission: The European Green Deal;European Commission;Not indexed;European Green Deal, Climate Policy, EU, Sustainability;Pending;No;"Fails: EU Green Deal (grey literature/policy doc); ecological sustainability framing";N/A
242;Round 1;Backward;European Commission;2020;Digital Economy and Society Index (DESI) 2020;European Commission;Not indexed;DESI, Digital Economy, Emerging Technologies, EU;Pending;No;"Fails: digital innovation hubs/DESI EU policy; no blockchain/decentralization or sustainability-as-stability";N/A
243;Round 1;Backward;European Commission;2021;Digital Economy and Society Index (DESI) 2021: Integration of digital technology;European Commission;Not indexed;DESI, Digital Economy, Digital Integration, EU;Pending;No;"Fails: digital innovation hubs/DESI EU policy; no blockchain/decentralization or sustainability-as-stability";N/A
244;Round 1;Backward;European Commission;2021;European digital innovation hubs in digital Europe programme;European Commission;Not indexed;EDIH, Digital Innovation Hubs, Digital Europe, SMEs;Pending;No;"Fails: digital innovation hubs/DESI EU policy; no blockchain/decentralization or sustainability-as-stability";N/A
245;Round 1;Backward;European Commission;2023;Digital Economy and Society Index (DESI) 2022: Integration of digital technology;European Commission;Not indexed;DESI, Digital Economy, Digital Integration, EU;Pending;No;"Fails: digital innovation hubs/DESI EU policy; no blockchain/decentralization or sustainability-as-stability";N/A
246;Round 1;Backward;Feltus, Nicolas & Khadraoui;2023;Towards a multidimensional ontology model for dih-based organisations;International Journal of Knowledge and Systems Science;Unknown;DIH, Ontology, Knowledge Systems, Organisations;Pending;No;"Fails: digital innovation hubs/DESI EU policy; no blockchain/decentralization or sustainability-as-stability";N/A
247;Round 1;Backward;Feng, Lai & Zhu;2022;Green supply chain innovation: Emergence, adoption, and challenges;International Journal of Production Economics;SSCI/SCI;Green Supply Chain, Innovation, Sustainability, Adoption;Pending;No;"Fails: green supply chain; sustainability is ecological/environmental";10.1016/j.ijpe.2022.108497
248;Round 1;Backward;Fisch, Meoli & Vismara;2022;Does blockchain technology democratize entrepreneurial finance? An empirical comparison of ICOs, venture capital, and REITs;Economics of Innovation and New Technology;SSCI/SCI;Blockchain, ICO, Entrepreneurial Finance, Democratization;High;Yes;Passes: blockchain/ICO (C1) + digital transformation of finance (C2) + financial democratization as stable inclusive development (C3);10.1080/10438599.2020.1843991
249;Round 1;Backward;França, Amato, Gonçalves & Almeida;2020;Proposing the use of blockchain to improve the solid waste management in small municipalities;Journal of Cleaner Production;SSCI/SCI;Blockchain, Waste Management, Municipalities, Circular Economy;Pending;No;"Fails: blockchain for waste management; sustainability is ecological/circular economy framing";10.1016/j.jclepro.2019.118529
250;Round 1;Backward;Friedman & Ormiston;2022;Blockchain as a sustainability-oriented innovation? Opportunities for and resistance to Blockchain technology as a driver of sustainability in global food supply chains;Technological Forecasting and Social Change;SSCI/SCI;Blockchain, Sustainability Innovation, Food Supply Chain, Resistance;Pending;No;"Fails: blockchain in food supply chain; sustainability is ecological/food safety oriented";10.1016/j.techfore.2021.121403
251;Round 1;Backward;Gajzago;2017;Serving innovation well? Mismatch between the supply and demand side of services by innovation intermediary organizations in Hungary;The Central European Journal of Regional Development and Tourism;Unknown;Innovation Intermediaries, Service Mismatch, Hungary, Regional;Pending;No;"Fails: innovation intermediaries/DIH; no blockchain/decentralization or sustainability-as-stability";10.32725/det.2017.024
252;Round 1;Backward;Georgescu, Avasilcai & Peter;2021;Digital innovation hubs—The present future of collaborative research, business and marketing development opportunities;Marketing and Smart Technologies (Springer);Not indexed;Digital Innovation Hubs, Collaborative Research, Marketing, Smart Technologies;Pending;No;"Fails: innovation intermediaries/DIH; no blockchain/decentralization or sustainability-as-stability";10.1007/978-981-33-4183-8_29
253;Round 1;Backward;Ghobakhloo & Ching;2019;Adoption of digital technologies of smart manufacturing in SMEs;Journal of Industrial Information Integration;SSCI/SCI;Digital Technologies, Smart Manufacturing, SMEs, Adoption;Pending;No;"Fails: smart manufacturing SMEs adoption; no blockchain/decentralization or sustainability-as-stability";10.1016/j.jii.2019.100107
254;Round 1;Backward;Giaretta;2014;"The trust ""builders"" in the technology transfer relationships: An Italian science park experience";The Journal of Technology Transfer;SSCI/SCI;Trust, Technology Transfer, Science Park, Italy;Pending;No;"Fails: technology transfer trust; no blockchain/decentralization or sustainability-as-stability";10.1007/s10961-013-9313-z
255;Round 1;Backward;Giganti, Borrello, Falcone & Cembalo;2024;The impact of blockchain technology on enhancing sustainability in the agri-food sector: A scoping review;Journal of Cleaner Production;SSCI/SCI;Blockchain, Agri-food, Sustainability, Scoping Review;Pending;No;"Fails: blockchain agri-food sustainability; sustainability is ecological/food safety not stable development governance";10.1016/j.jclepro.2024.142379
256;Round 1;Backward;Gladysz, Matteri, Ejsmont, Corti, Bettoni & Haber Guerra;2023;Platform-based support for AI uptake by SMEs: Guidelines to design service bundles;Central European Management Journal;Unknown;AI, SMEs, Digital Innovation Hub, Platform;Pending;No;"Fails: AI/SME digital platform; no blockchain/decentralization or sustainability-as-stability";N/A
257;Round 1;Backward;Glavič & Lukman;2007;Review of sustainability terms and their definitions;Journal of Cleaner Production;SSCI/SCI;Sustainability, Definitions, Terminology, Environmental;Pending;No;"Fails: sustainability terminology review; no digital transformation or decentralization";10.1016/j.jclepro.2006.12.006
258;Round 1;Backward;Gliedt, Hoicka & Jackson;2018;Innovation intermediaries accelerating environmental sustainability transitions;Journal of Cleaner Production;SSCI/SCI;Innovation Intermediaries, Environmental Sustainability, Transitions;Pending;No;"Fails: eco-innovation intermediaries; sustainability is ecological/environmental transitions";10.1016/j.jclepro.2017.11.054
259;Round 1;Backward;Good, Knockaert & Soppe;2019;A typology of technology transfer ecosystems: How structure affects interactions at the science-market divide;The Journal of Technology Transfer;SSCI/SCI;Technology Transfer, Ecosystems, Typology, Science-Market;Pending;No;"Fails: technology transfer/innovation ecosystems; no blockchain/decentralization or sustainability-as-stability";10.1007/s10961-019-09745-w
260;Round 1;Backward;Granovetter;1985;Economic action and social structure: The problem of social embeddedness;American Journal of Sociology;SSCI/SCI;Social Embeddedness, Networks, Economic Sociology, Institutional Theory;Pending;No;"Fails: technology transfer/innovation ecosystems; no blockchain/decentralization or sustainability-as-stability";10.1086/228311
261;Round 1;Backward;Harrigan, Di Guardo & Cowgill;2017;Multiplicative-innovation synergies: Tests in technological acquisitions;Journal of Technology Transfer;SSCI/SCI;Innovation Synergies, Technological Acquisitions, Partnerships;Pending;No;"Fails: technology transfer/innovation ecosystems; no blockchain/decentralization or sustainability-as-stability";10.1007/s10961-016-9514-3
262;Round 1;Backward;He, Meadows, Angwin, Gomes & Child;2020;Strategic alliance research in the era of digital transformation: Perspectives on future research;British Journal of Management;SSCI/SCI;Strategic Alliances, Digital Transformation, Collaboration, BCT;Medium;Yes;"Passes: blockchain/BCT (C1) + digital transformation of strategic alliances (C2); collaboration stability implications (C3)";10.1111/1467-8551.12406
263;Round 1;Backward;Hekkert & Negro;2009;Functions of innovation systems as a framework to understand sustainable technological change: Empirical evidence for earlier claims;Technological Forecasting and Social Change;SSCI/SCI;TIS Functions, Innovation Systems, Sustainable Technology;Pending;No;"Fails: innovation systems/intermediaries theory; no blockchain/decentralization or sustainability-as-stability";10.1016/j.techfore.2008.04.013
264;Round 1;Backward;Hernández-Chea, Mahdad, Minh & Hjortsø;2021;Moving beyond intermediation: How intermediary organizations shape collaboration dynamics in entrepreneurial ecosystems;Technovation;SSCI/SCI;Innovation Intermediaries, Entrepreneurial Ecosystems, Collaboration;Pending;No;"Fails: innovation systems/intermediaries theory; no blockchain/decentralization or sustainability-as-stability";10.1016/j.technovation.2021.102332
265;Round 1;Backward;Hervas-Oliver, Gonzalez-Alcaide, Rojas-Alvarado & Monto-Mompo;2021;Emerging regional innovation policies for industry 4.0: Analyzing the digital innovation hub program in European regions;Competitiveness Review;SSCI/SCI;DIH, Regional Innovation, Industry 4.0, European Policy;Pending;No;"Fails: digital innovation hubs regional policy; no blockchain/decentralization or sustainability-as-stability";10.1108/CR-12-2019-0159
266;Round 1;Backward;Hilkenmeier, Fechtelpeter & Decius;2021;How to foster innovation in SMEs: Evidence of the effectiveness of a project-based technology transfer approach;Journal of Technology Transfer;SSCI/SCI;SMEs, Innovation, Technology Transfer, Project-Based;Pending;No;"Fails: SME innovation/intermediaries; no blockchain/decentralization or sustainability-as-stability";10.1007/s10961-021-09913-x
267;Round 1;Backward;Hossain;2018;Motivations, challenges, and opportunities of successful solvers on an innovation intermediary platform;Technological Forecasting and Social Change;SSCI/SCI;Innovation Intermediary, Open Innovation, Motivations, Platform;Pending;No;"Fails: SME innovation/intermediaries; no blockchain/decentralization or sustainability-as-stability";10.1016/j.techfore.2017.10.018
268;Round 1;Backward;Howells;2006;Intermediation and the role of intermediaries in innovation;Research Policy;SSCI/SCI;Innovation Intermediaries, Knowledge Brokers, Technology Transfer;Pending;No;"Fails: SME innovation/intermediaries; no blockchain/decentralization or sustainability-as-stability";10.1016/j.respol.2006.03.005
269;Round 1;Backward;Hyperledger;2019;Case study: Circulor achieves first-ever-mine-to-manufacturer traceability of a conflict mineral with Hyperledger Fabric;Circulor / Hyperledger;Not indexed;Blockchain, Traceability, Supply Chain, Conflict Minerals;Medium;Yes;"Passes: blockchain traceability (C1) + supply chain digital transformation (C2); supply chain governance stability (C3)";N/A
270;Round 1;Backward;Ilbiz & Durst;2019;The appropriation of blockchain for small and medium-sized enterprises;Journal of Innovation Management;Unknown;Blockchain, SMEs, Appropriation, Innovation;Medium;Yes;"Passes: blockchain (C1) + SME digital transformation (C2); organizational stability implications";10.24840/2183-0606_007.001_0004
271;Round 1;Backward;Inceoglu, Vanacker & Vismara;2024;Digitalization and resource mobilization;British Journal of Management;SSCI/SCI;Digitalization, Resource Mobilization, Innovation, Management;Pending;No;"Fails: digitalization resource mobilization; no blockchain/decentralization or sustainability-as-stability";10.1111/1467-8551.12817
272;Round 1;Backward;Jackson;2022;The blockchain projects making renewable energy a reality;Cointelegraph Magazine;Unknown;Blockchain, Renewable Energy, Decentralized Energy;Pending;No;"Fails: blockchain renewable energy; sustainability is ecological/energy";N/A
273;Round 1;Backward;Johnson & Schaltegger;2016;Two decades of sustainability management tools for SMEs: How far have we come?;Journal of Small Business Management;SSCI/SCI;Sustainability Management, SMEs, Tools, Review;Pending;No;"Fails: SME sustainability management/DIH policy; sustainability is ecological or no blockchain/DLT";10.1111/jsbm.12154
274;Round 1;Backward;Journeault, Perron & Vallières;2021;The collaborative roles of stakeholders in supporting the adoption of sustainability in SMEs;Journal of Environmental Management;SSCI/SCI;Stakeholders, SMEs, Sustainability Adoption, Collaboration;Pending;No;"Fails: SME sustainability management/DIH policy; sustainability is ecological or no blockchain/DLT";10.1016/j.jenvman.2021.112349
275;Round 1;Backward;Kalpaka, Sörvik, Tasigiorgou & Rissola;2020;Digital Innovation Hubs as policy instruments to boost digitalisation of SMEs;European Commission / JRC;Not indexed;DIH, SMEs, Policy Instruments, Digitalisation;Pending;No;"Fails: SME sustainability management/DIH policy; sustainability is ecological or no blockchain/DLT";10.2760/538258
276;Round 1;Backward;Kamilaris, Fonts & Boldù;2019;The rise of blockchain technology in agriculture and food supply chains;Trends in Food Science and Technology;SSCI/SCI;Blockchain, Agriculture, Food Supply Chain, IoT;Pending;No;"Fails: blockchain agriculture food supply; sustainability is ecological/food safety framing";10.1016/j.tifs.2019.07.034
277;Round 1;Backward;Kanda, Hjelm, Clausen & Bienkowska;2018;Roles of intermediaries in supporting eco-innovation;Journal of Cleaner Production;SSCI/SCI;Eco-innovation, Intermediaries, Innovation Systems, Sustainability;Pending;No;"Fails: eco-innovation/environmental sustainability intermediaries; sustainability is ecological";10.1016/j.jclepro.2018.09.132
278;Round 1;Backward;Kanda, Río & Bienkowska;2019;A technological innovation systems approach to analyse the roles of intermediaries in eco-innovation;Journal of Cleaner Production;SSCI/SCI;TIS, Eco-innovation, Intermediaries, Innovation Systems;Pending;No;"Fails: eco-innovation/environmental sustainability intermediaries; sustainability is ecological";10.1016/j.jclepro.2019.04.230
279;Round 1;Backward;Kant & Kanda;2019;Innovation intermediaries: What does it take to survive over time?;Journal of Cleaner Production;SSCI/SCI;Innovation Intermediaries, Sustainability, Longevity, Organizations;Pending;No;"Fails: eco-innovation/environmental sustainability intermediaries; sustainability is ecological";10.1016/j.jclepro.2019.04.213
280;Round 1;Backward;Keszey;2018;Boundary spanners' knowledge sharing for innovation success in turbulent times;Journal of Knowledge Management;SSCI/SCI;Boundary Spanners, Knowledge Sharing, Innovation, Turbulence;Pending;No;"Fails: knowledge sharing in organizations; no blockchain/decentralization or sustainability-as-stability";10.1108/JKM-01-2017-0033
281;Round 1;Backward;Khan, Godil, Jabbour et al.;2021;Green data analytics, blockchain technology for sustainable development, and sustainable supply chain practices: Evidence from small and medium enterprises;Annals of Operations Research;SSCI/SCI;Blockchain, Green Analytics, Sustainable Supply Chain, SMEs;Medium;Yes;Passes: blockchain (C1) + digital transformation of supply chain (C2) + sustainable supply chain stability (C3);10.1007/s10479-021-04275-x
